"No.","Time","Source","Destination","Protocol","Length","Info"
"1","0.000000000","127.0.0.1","127.0.1.1","TCP","74","33014  >  44256 [SYN] Seq=0 Win=65495 Len=0 MSS=65495 SACK_PERM=1 TSval=504435741 TSecr=0 WS=128"
"2","0.000013566","127.0.1.1","127.0.0.1","TCP","74","44256  >  33014 [SYN, ACK] Seq=0 Ack=1 Win=65483 Len=0 MSS=65495 SACK_PERM=1 TSval=3813911055 TSecr=504435741 WS=128"
"3","0.000022430","127.0.0.1","127.0.1.1","TCP","66","33014  >  44256 [ACK] Seq=1 Ack=1 Win=65536 Len=0 TSval=504435741 TSecr=3813911055"
"4","0.000054755","127.0.0.1","127.0.1.1","TCP","70","33014  >  44256 [PSH, ACK] Seq=1 Ack=1 Win=65536 Len=4 TSval=504435741 TSecr=3813911055"
"5","0.000058034","127.0.1.1","127.0.0.1","TCP","66","44256  >  33014 [ACK] Seq=1 Ack=5 Win=65536 Len=0 TSval=3813911055 TSecr=504435741"
"6","0.000197291","127.0.1.1","127.0.0.1","TCP","66","44256  >  43386 [FIN, ACK] Seq=1 Ack=1 Win=512 Len=0 TSval=3813911056 TSecr=501697983"
"7","0.000202373","127.0.0.1","127.0.1.1","TCP","54","43386  >  44256 [RST] Seq=1 Win=0 Len=0"
"8","0.000309513","127.0.1.1","127.0.0.1","TCP","119","44256  >  33014 [PSH, ACK] Seq=1 Ack=5 Win=65536 Len=53 TSval=3813911056 TSecr=504435741"
"9","0.000314334","127.0.0.1","127.0.1.1","TCP","66","33014  >  44256 [ACK] Seq=5 Ack=54 Win=65536 Len=0 TSval=504435742 TSecr=3813911056"
"10","0.000474751","127.0.0.1","127.0.1.1","TCP","66","33014  >  44256 [FIN, ACK] Seq=5 Ack=54 Win=65536 Len=0 TSval=504435742 TSecr=3813911056"
"11","0.046879748","127.0.1.1","127.0.0.1","TCP","66","44256  >  33014 [ACK] Seq=54 Ack=6 Win=65536 Len=0 TSval=3813911102 TSecr=504435742"
"12","45.843213929","127.0.0.1","127.0.1.1","TCP","74","48020  >  44256 [SYN] Seq=0 Win=65495 Len=0 MSS=65495 SACK_PERM=1 TSval=504481585 TSecr=0 WS=128"
"13","45.843224505","127.0.1.1","127.0.0.1","TCP","74","44256  >  48020 [SYN, ACK] Seq=0 Ack=1 Win=65483 Len=0 MSS=65495 SACK_PERM=1 TSval=3813956899 TSecr=504481585 WS=128"
"14","45.843233108","127.0.0.1","127.0.1.1","TCP","66","48020  >  44256 [ACK] Seq=1 Ack=1 Win=65536 Len=0 TSval=504481585 TSecr=3813956899"
"15","45.843265427","127.0.0.1","127.0.1.1","TCP","70","48020  >  44256 [PSH, ACK] Seq=1 Ack=1 Win=65536 Len=4 TSval=504481585 TSecr=3813956899"
"16","45.843268784","127.0.1.1","127.0.0.1","TCP","66","44256  >  48020 [ACK] Seq=1 Ack=5 Win=65536 Len=0 TSval=3813956899 TSecr=504481585"
"17","45.843455117","127.0.1.1","127.0.0.1","TCP","66","44256  >  33014 [FIN, ACK] Seq=54 Ack=6 Win=65536 Len=0 TSval=3813956899 TSecr=504435742"
"18","45.843462324","127.0.0.1","127.0.1.1","TCP","66","33014  >  44256 [ACK] Seq=6 Ack=55 Win=65536 Len=0 TSval=504481585 TSecr=3813956899"
"19","45.843526730","127.0.1.1","127.0.0.1","TCP","119","44256  >  48020 [PSH, ACK] Seq=1 Ack=5 Win=65536 Len=53 TSval=3813956899 TSecr=504481585"
"20","45.843534184","127.0.0.1","127.0.1.1","TCP","66","48020  >  44256 [ACK] Seq=5 Ack=54 Win=65536 Len=0 TSval=504481585 TSecr=3813956899"
"21","45.843675477","127.0.0.1","127.0.1.1","TCP","66","48020  >  44256 [FIN, ACK] Seq=5 Ack=54 Win=65536 Len=0 TSval=504481585 TSecr=3813956899"
"22","45.890875195","127.0.1.1","127.0.0.1","TCP","66","44256  >  48020 [ACK] Seq=54 Ack=6 Win=65536 Len=0 TSval=3813956946 TSecr=504481585"
"23","54.974645699","127.0.0.1","127.0.1.1","TCP","74","33638  >  44256 [SYN] Seq=0 Win=65495 Len=0 MSS=65495 SACK_PERM=1 TSval=504490716 TSecr=0 WS=128"
"24","54.974654961","127.0.1.1","127.0.0.1","TCP","74","44256  >  33638 [SYN, ACK] Seq=0 Ack=1 Win=65483 Len=0 MSS=65495 SACK_PERM=1 TSval=3813966030 TSecr=504490716 WS=128"
"25","54.974662492","127.0.0.1","127.0.1.1","TCP","66","33638  >  44256 [ACK] Seq=1 Ack=1 Win=65536 Len=0 TSval=504490716 TSecr=3813966030"
"26","54.974693078","127.0.0.1","127.0.1.1","TCP","69","33638  >  44256 [PSH, ACK] Seq=1 Ack=1 Win=65536 Len=3 TSval=504490716 TSecr=3813966030"
"27","54.974696264","127.0.1.1","127.0.0.1","TCP","66","44256  >  33638 [ACK] Seq=1 Ack=4 Win=65536 Len=0 TSval=3813966030 TSecr=504490716"
"28","54.974815195","127.0.1.1","127.0.0.1","TCP","66","44256  >  48020 [FIN, ACK] Seq=54 Ack=6 Win=65536 Len=0 TSval=3813966030 TSecr=504481585"
